H2,C2H2,C2H4,C2H6,CH4,C3H8,TCG,CO,CO2,normality
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
44,90,61,35,39,20,272,400,2000,1
800,0,8,35,468,20,2027,400,3094,1
800,0,8,35,468,20,1909,400,3335,1
800,0,8,35,606,24,2500,417,3762,1
800,0,8,35,587,25,2426,406,3877,1
800,0,8,35,568,21,2152,411,3935,1
800,0,8,35,237,20,1182,459,3386,1
800,0,8,35,245,20,1293,472,3650,1
800,0,8,35,328,20,1293,499,4372,1
800,0,8,35,298,20,1255,486,4307,1
800,0,8,35,307,20,1373,499,4372,1
10,0,15,35,109,20,390,400,3386,1
10,0,8,35,30,20,125,400,2000,1
10,0,22,35,133,20,496,400,2913,1
10,0,22,35,146,20,527,400,2827,1
10,0,19,35,128,20,467,400,2869,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
44,0,8,35,30,20,125,400,2000,1
69,2,8,35,30,20,125,400,2000,1
69,3,8,35,30,20,129,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
516,0,8,35,57,20,594,400,2000,1
800,0,8,35,87,20,1018,400,2000,1
10,0,8,35,33,20,125,687,4858,1
10,0,8,35,30,20,125,400,2000,1
292,0,8,35,34,20,346,400,3437,1
800,0,8,35,61,20,959,400,3935,1
800,0,8,35,61,20,1049,400,4117,1
10,0,20,35,113,233,801,400,2000,1
10,0,15,35,106,226,710,400,2000,1
10,0,13,35,99,220,689,400,2000,1
10,0,18,35,93,195,649,400,2000,1
10,0,17,35,90,201,630,400,2000,1
267,0,8,35,49,20,336,582,6865,1
473,0,8,35,59,20,543,659,8101,1
15,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
473,0,8,35,59,20,559,659,8101,1
12,4,15,35,30,20,125,400,2000,1
27,5,27,35,30,20,125,400,2000,1
27,6,33,35,30,20,125,400,2000,1
27,5,34,35,30,20,125,400,2000,1
39,9,54,35,30,20,141,400,2000,1
37,9,96,35,39,20,208,400,2000,1
66,18,133,35,55,25,307,423,2000,1
69,22,151,35,63,31,346,441,2000,1
69,17,157,35,63,32,346,453,2000,1
63,13,193,35,84,40,414,521,2000,1
10,0,13,35,30,20,125,400,2957,1
18,0,12,35,30,21,125,400,3047,1
116,0,13,35,30,20,190,400,4179,1
13,3,9,35,30,20,125,400,2000,1
22,4,13,35,30,20,125,400,2000,1
10,2,8,35,30,20,125,400,2000,1
10,2,8,35,30,20,125,400,2000,1
13,2,12,35,30,20,125,400,2000,1
25,5,20,35,30,20,125,400,2000,1
27,7,30,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
21,4,10,35,30,20,125,400,2000,1
25,6,16,35,30,20,125,400,2000,1
36,7,27,35,30,20,125,400,2000,1
55,9,96,35,50,23,242,411,2000,1
66,12,113,35,61,25,289,441,2000,1
86,17,164,35,90,38,402,513,2000,1
78,15,193,35,106,45,467,558,2000,1
78,15,171,35,96,41,427,528,2000,1
10,0,33,35,237,271,988,400,2000,1
10,0,35,35,189,271,903,406,2000,1
23,0,35,35,196,305,1018,400,2000,1
19,0,35,35,215,315,1049,400,2000,1
